model,corpus,fixture,expected_rule,rule,candidate,cosine
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a passport page,0.7204
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a driver's license or national ID card,0.6205
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a credit card or payment card,0.4432
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of an employee or visitor badge,0.4217
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a healthcare insurance card,0.4948
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a patient wristband or hospital identifier,0.3285
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a tax document or paystub with personal details,0.5940
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a paper form filled in with personal information,0.5440
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,screenshot of source code in an editor,0.2059
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,terminal or shell window screenshot,0.1419
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,screenshot of a log file or stack trace,0.1645
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,git diff or pull-request review screenshot,0.1166
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,screenshot of a debugger paused at a breakpoint,-0.0180
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,command-line build output or test runner output,-0.1028
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,screenshot of an API response or HTTP request body,0.2554
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,screenshot of a database client or SQL query result,0.2928
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,ambient_office_imagery,photograph of a whiteboard with handwritten notes,0.2998
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,ambient_office_imagery,photograph of a conference room or meeting space,0.1567
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,ambient_office_imagery,photograph of an office workspace or desk surface,0.1357
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,ambient_office_imagery,photograph of a building lobby or interior hallway,0.0926
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,ambient_office_imagery,photograph of an office printer or shared equipment,0.2964
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,ambient_office_imagery,photograph of a coffee cup or notebook on a desk,0.3715
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,ambient_office_imagery,photograph of indoor potted plants or office decor,0.0944
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,ambient_office_imagery,photograph of a wide factory floor or warehouse aisle,0.0509
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,identifier_document_imagery,photograph of a passport page,0.1166
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,identifier_document_imagery,photograph of a driver's license or national ID card,0.1323
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,identifier_document_imagery,photograph of a credit card or payment card,0.1451
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,identifier_document_imagery,photograph of an employee or visitor badge,-0.0532
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,identifier_document_imagery,photograph of a healthcare insurance card,0.1190
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,identifier_document_imagery,photograph of a patient wristband or hospital identifier,0.1435
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,identifier_document_imagery,photograph of a tax document or paystub with personal details,0.2607
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,identifier_document_imagery,photograph of a paper form filled in with personal information,0.2570
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,code_or_terminal_imagery,screenshot of source code in an editor,0.4848
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,code_or_terminal_imagery,terminal or shell window screenshot,0.2581
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,code_or_terminal_imagery,screenshot of a log file or stack trace,0.3974
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,code_or_terminal_imagery,git diff or pull-request review screenshot,0.3174
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,code_or_terminal_imagery,screenshot of a debugger paused at a breakpoint,0.2314
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,code_or_terminal_imagery,command-line build output or test runner output,0.3446
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,code_or_terminal_imagery,screenshot of an API response or HTTP request body,0.3549
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,code_or_terminal_imagery,screenshot of a database client or SQL query result,0.3529
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,ambient_office_imagery,photograph of a whiteboard with handwritten notes,0.2203
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,ambient_office_imagery,photograph of a conference room or meeting space,0.0005
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,ambient_office_imagery,photograph of an office workspace or desk surface,0.1840
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,ambient_office_imagery,photograph of a building lobby or interior hallway,-0.0030
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,ambient_office_imagery,photograph of an office printer or shared equipment,0.2078
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,ambient_office_imagery,photograph of a coffee cup or notebook on a desk,0.1419
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,ambient_office_imagery,photograph of indoor potted plants or office decor,0.0011
llm-semantic-router/multi-modal-embed-small,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,ambient_office_imagery,photograph of a wide factory floor or warehouse aisle,0.0279
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,identifier_document_imagery,photograph of a passport page,0.0857
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,identifier_document_imagery,photograph of a driver's license or national ID card,0.0661
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,identifier_document_imagery,photograph of a credit card or payment card,0.0579
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,identifier_document_imagery,photograph of an employee or visitor badge,-0.0018
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,identifier_document_imagery,photograph of a healthcare insurance card,0.1632
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,identifier_document_imagery,photograph of a patient wristband or hospital identifier,0.0184
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,identifier_document_imagery,photograph of a tax document or paystub with personal details,0.1043
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,identifier_document_imagery,photograph of a paper form filled in with personal information,0.1482
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,code_or_terminal_imagery,screenshot of source code in an editor,0.1534
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,code_or_terminal_imagery,terminal or shell window screenshot,0.1687
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,code_or_terminal_imagery,screenshot of a log file or stack trace,0.0529
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,code_or_terminal_imagery,git diff or pull-request review screenshot,0.1431
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,code_or_terminal_imagery,screenshot of a debugger paused at a breakpoint,0.1075
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,code_or_terminal_imagery,command-line build output or test runner output,0.0037
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,code_or_terminal_imagery,screenshot of an API response or HTTP request body,0.0316
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,code_or_terminal_imagery,screenshot of a database client or SQL query result,0.2236
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,ambient_office_imagery,photograph of a whiteboard with handwritten notes,0.1709
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,ambient_office_imagery,photograph of a conference room or meeting space,0.7099
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,ambient_office_imagery,photograph of an office workspace or desk surface,0.4663
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,ambient_office_imagery,photograph of a building lobby or interior hallway,0.5241
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,ambient_office_imagery,photograph of an office printer or shared equipment,0.2197
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,ambient_office_imagery,photograph of a coffee cup or notebook on a desk,0.2133
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,ambient_office_imagery,photograph of indoor potted plants or office decor,0.2522
llm-semantic-router/multi-modal-embed-small,A_PR1896,conference_room.jpg,ambient_office_imagery,ambient_office_imagery,photograph of a wide factory floor or warehouse aisle,0.3995
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a passport page,0.1081
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a driver's license or national ID card,0.0660
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a credit card or payment card,0.0011
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of an employee or visitor badge,0.0428
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a healthcare insurance card,0.0164
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a patient wristband or hospital identifier,-0.0196
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a tax document or paystub with personal details,-0.0069
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a paper form filled in with personal information,0.0419
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,screenshot of source code in an editor,-0.0092
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,terminal or shell window screenshot,-0.0037
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,screenshot of a log file or stack trace,0.0005
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,git diff or pull-request review screenshot,-0.0708
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,screenshot of a debugger paused at a breakpoint,-0.0759
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,command-line build output or test runner output,-0.0490
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,screenshot of an API response or HTTP request body,-0.0713
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,screenshot of a database client or SQL query result,-0.0446
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,ambient_office_imagery,photograph of a whiteboard with handwritten notes,-0.0389
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,ambient_office_imagery,photograph of a conference room or meeting space,-0.0553
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,ambient_office_imagery,photograph of an office workspace or desk surface,-0.0093
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,ambient_office_imagery,photograph of a building lobby or interior hallway,-0.0339
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,ambient_office_imagery,photograph of an office printer or shared equipment,-0.0142
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,ambient_office_imagery,photograph of a coffee cup or notebook on a desk,-0.0027
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,ambient_office_imagery,photograph of indoor potted plants or office decor,-0.0438
google/siglip-base-patch16-512,A_PR1896,passport_sample.jpg,identifier_document_imagery,ambient_office_imagery,photograph of a wide factory floor or warehouse aisle,-0.0785
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,identifier_document_imagery,photograph of a passport page,-0.0055
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,identifier_document_imagery,photograph of a driver's license or national ID card,-0.0139
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,identifier_document_imagery,photograph of a credit card or payment card,0.0048
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,identifier_document_imagery,photograph of an employee or visitor badge,0.0079
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,identifier_document_imagery,photograph of a healthcare insurance card,-0.0299
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,identifier_document_imagery,photograph of a patient wristband or hospital identifier,-0.0031
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,identifier_document_imagery,photograph of a tax document or paystub with personal details,-0.0119
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,identifier_document_imagery,photograph of a paper form filled in with personal information,0.0187
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,code_or_terminal_imagery,screenshot of source code in an editor,0.0326
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,code_or_terminal_imagery,terminal or shell window screenshot,0.0613
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,code_or_terminal_imagery,screenshot of a log file or stack trace,0.0065
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,code_or_terminal_imagery,git diff or pull-request review screenshot,0.0004
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,code_or_terminal_imagery,screenshot of a debugger paused at a breakpoint,0.0575
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,code_or_terminal_imagery,command-line build output or test runner output,0.0644
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,code_or_terminal_imagery,screenshot of an API response or HTTP request body,0.0023
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,code_or_terminal_imagery,screenshot of a database client or SQL query result,0.0230
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,ambient_office_imagery,photograph of a whiteboard with handwritten notes,0.0180
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,ambient_office_imagery,photograph of a conference room or meeting space,-0.0125
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,ambient_office_imagery,photograph of an office workspace or desk surface,0.0403
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,ambient_office_imagery,photograph of a building lobby or interior hallway,-0.0153
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,ambient_office_imagery,photograph of an office printer or shared equipment,0.0349
google/siglip-base-patch16-512,A_PR1896,code_screenshot.jpg,code_or_terminal_imagery,ambient_office_imagery,photograph of a coffee cup or notebook on a desk,0.0033
